0035/MDAZ

type='';type=new Array();type['A']='Abono';type['C']='Cargo';
EOC
codecat='';codecat=new Array();codecat['3']='type';
08/05/2021|10:23|90764660|AUTOBUSES MEXICO PUEBLA ESTRELLA ROJ|10|MIRIAN,LAVIN/APARICIO|07/05/21|7007|3747439|TRAILERS TECNICOS SA DE CV|+|885,294.53|+|926,183.29|11|1|294,092.04|334,980.80|Pesos
1|07/05/21|C|51|05|870|60521|NOM TST 18|9,080.39|00017381
2|07/05/21|C|51|05|870|60521|NOM TST 18|3,530.83|00017382
3|07/05/21|C|51|05|870|60521|NOM TST 18|6,070.95|00017383
4|07/05/21|C|51|05|870|60521|NOM TST 18|1,570.95|00017384
5|07/05/21|C|51|08|870|25146351|TST 18|172,845.13|00090202
6|07/05/21|C|51|02|870|162914284|336 FINIQUITO|2,446.08|00296007
7|07/05/21|C|51|05|870|48394|P48394|26,401.60|00328358
8|07/05/21|C|51|02|870|56048713|335|11,878.40|00330491
9|07/05/21|C|51|05|870|1257818|1257818|40,675.83|00331699
10|07/05/21|C|51|02|870|8700004253|AUT  42756 SER BCA ELEC.|19,280.00|00342756
11|07/05/21|C|51|02|870|8700004253|AUT  43680 SER BCA ELEC.|311.88|00343680
12|07/05/21|A|17|00|859|70521|FLETES FACT 2028 A 3649|334,980.80|00525262
